0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,8.569335937500000000e-02,-2.685546875000000000e-02,-1.035644531250000000e+00,1.145038167938931206e+00,1.564885496183206159e+00,-2.763358778625954137e+00,-4.082850662714035406e-02,1.099063511096076279e-01,-1.480356629066941210e+00,4.728523662350609946e+00,1.145038167938931206e+00,1.564885496183206159e+00
2.900000000000000000e+01,7.324218750000000000e-02,-4.394531250000000000e-03,-1.014892578125000000e+00,3.816793893129771104e-02,1.610687022900763266e+00,-1.740458015267175584e+00,-4.533494761757603936e-02,2.060468468516646334e-01,-2.474482660725886296e-01,4.127694496991083817e+00,3.816793893129771104e-02,1.610687022900763266e+00
4.200000000000000000e+01,1.091308593750000000e-01,-4.589843750000000000e-02,-1.017822265625000000e+00,1.244274809160305306e+00,1.259541984732824416e+00,-1.312977099236641187e+00,-1.079680318259268190e-01,3.365435202190015240e-01,-2.567294501546564689e+00,6.113704942699426326e+00,1.244274809160305306e+00,1.259541984732824416e+00
5.400000000000000000e+01,9.692382812500000000e-02,-4.736328125000000000e-02,-1.018798828125000000e+00,5.343511450381679267e-02,1.053435114503816772e+00,-1.412213740458015288e+00,-1.593279201888387620e-01,4.487097619268177184e-01,-2.649779243864653910e+00,5.428672399502942447e+00,5.343511450381679267e-02,1.053435114503816772e+00
6.600000000000000000e+01,8.935546875000000000e-02,-7.470703125000000000e-02,-1.021240234375000000e+00,3.053435114503816675e-02,1.541984732824427384e+00,-1.778625954198473247e+00,-2.398016254411451942e-01,5.545913307039774809e-01,-4.168051350743090744e+00,4.987215681700838843e+00,3.053435114503816675e-02,1.541984732824427384e+00
7.700000000000000000e+01,6.787109375000000000e-02,-5.224609375000000000e-02,-9.863281250000000000e-01,-8.320610687022901297e-01,1.007633587786259444e+00,-2.343511450381679406e+00,-2.873514075235959475e-01,6.319929428205005584e-01,-3.025000653227804204e+00,3.930931478514863908e+00,-8.320610687022901297e-01,1.007633587786259444e+00
8.900000000000000000e+01,1.166992187500000000e-01,-3.930664062500000000e-02,-9.970703125000000000e-01,-1.015267175572519109e+00,1.832061068702290074e-01,-2.404580152671755844e+00,-3.165000162995363353e-01,7.545587502357429255e-01,-2.242262762351151295e+00,6.670512321216211404e+00,-1.015267175572519109e+00,1.832061068702290074e-01
1.010000000000000000e+02,9.887695312500000000e-02,1.391601562500000000e-02,-1.035644531250000000e+00,-8.778625954198473469e-01,-1.374045801526717625e-01,-1.519083969465648831e+00,-2.862398433567799882e-01,8.471855662604844683e-01,7.663559590825546053e-01,5.453227795747626949e+00,-8.778625954198473469e-01,-1.374045801526717625e-01
1.120000000000000000e+02,1.149902343750000000e-01,-7.324218750000000000e-03,-1.051757812500000000e+00,-1.267175572519083859e+00,1.007633587786259444e+00,-1.038167938931297662e+00,-2.760292426703662705e-01,9.649026641345165300e-01,-3.966258395704476136e-01,6.239300001946817886e+00,-1.267175572519083859e+00,1.007633587786259444e+00
